headword_as_printed	expanded_form	inflection	pos	glosses	source_page	image_verified	scan_url
Արիստարքոս				Aristarchus.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Արիստիդէս				Aristides.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Արիստիպպոս				Aristippus.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Արիստոբուղոս				Aristobolus.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Արիստոդէմ				Aristodemus.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Արիստոտէլ				Aristoteles; Aristotle.; Aristoteles, Aristotle.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Անդիպաս				Antipas.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Առնոլդոս				Arnold.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Ասկղեպիադէս				Asclepiades.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Ասկղեպիոս				Æsculapius.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Աստրուբաղ				Hastrupal.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Ատա			f.	Adah.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Արիոստոյ				Ariosto.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Արիստոփան				Aristophanes.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Արիստոքսէն				Aristoxenes.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Արծրունի				Ardzeroony.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Արկադ		էոս		Arcadius.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Արմայիս				Armais.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Արմենակ				Armenace.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Արմինիա			f.	Armenia.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Արշակ				Arsaces.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Արշամ				Arsames, Arsham.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Արուսեակ			f.	Mattutina, Aurora.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Արսէն		իոս		Arsen, Arsenius.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Արտակ				Artace.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Արտաշէս				Artaxias, Artaxes.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Արտաշիր				Artaxerxes; Artaxerxes;	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Արտաւազ				Artabasus.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Արտաւազդ				Artabazes, Artavasdes.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Արտաւան				Artaban, -us.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Արտափեռնէս				Artaphernes.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Արտեմիս			f.	Artemis, Diana.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Արրիանոս				Arrian.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Արփաքսադ				Arphaxad.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Արքեղայոս				Archelaus.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Արքիմեդէս				Archimedes.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Աւագ				Magnus.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Աւգերեան				(ՀՀ. Մ. և Յ.) Awker, Aucher.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Աւգոստինոս				Augustinus.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Աւգոստոս				Augustus.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Աւետիս				Avedis.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Աւետիքեան				(Հ. Գ.) Awedikian.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Աւրա			f.	Aura.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Աւրեղիա			f.	Aurelia.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Աւրեղիանոս				Aurelian.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Ափրոդիտէ		ս	f.	Aphrodite, Venus.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Աքաաբ				Abab.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Աքազ				Achaz.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Աքիա				Achia.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Աքիմելէք				Achimelech.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Աքիովր				Achior.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Աքիւլլէս				Achilles.; Աքիլլաս, Աքիւղէս Achilles.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Բաբ				Bab, Babus.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Բաբիկ				Babig.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Բագարատ				Pancratius, Bagarat, Bagrat.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Բագոս				Bacchus (St.).	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Բագրատունի				(Հ. Ա. Կ.) Bagratoony.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Բազ				Bas or Basus.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Բազուկ				Basoock.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Բալդովինոս				Baldwin.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Բակուր				Pacorus, Bachorus.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Բահաղ				Baal.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Բահլ				Balkh.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Բաղաամ				Balaam.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Բաղակ				Balak.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Բաղտասար				Balteshazzar, Baltasar.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Բայազիտ				Bajazeth.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Բառնաբաս				Barnaby, Barnabas.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Բասիլիդէս				Basilites.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Բասիլիոս				Basil.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Բասիլիսկոս				Basiliscus.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Բարաղամ				Barlaam.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Բարաքիա				Barachias.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Բարդածան				Bardezanes.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Բարթուղիմէոս				Bartholomew.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Բարշամ				Barsam.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Բարշամին				Barsamina.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Բարոնիոս				Baronius.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Բարուք				Baruch.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Բարսեղ				Basil.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Բաքոս				Bacchus, Dyonisus.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Բելիսար				Belisarius.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Բելփեգովր				Beelphegor.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Բեկենտ				Vincent.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Բեկտոր				Victor.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Բենեդիկտոս				Benedict, Bennet.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Բենիամին				Benjamin, Ben.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Բեռնարդ		ոս		Bernardus, Bernard.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Բերենիկէ			f.	Berenices.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Բերթա			f.	Bertha.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Բերիոս				Berosus.; Բերոսոս, Բիւռիոս Berosus.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Բերսաբէ				Berth-sheba.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Բեեղզեբուղ				Beelzebub.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Բէթսաբէ			f.	Bathsheba.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Բէլ				Bel, Belus.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Բիբի			f.	Bibiana.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Բիւրասպի				Piurasby, Byraspy.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Բոնավենտուրա				Տ. Պոնավենդուրա.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Բուբուլ			f.	Bubula.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Բուզանդ				Byzant.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Բրիարէ				Briareus.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Բրիգիտա				Տ. Պրիճիդա.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Բրիտաննիկոս				Britannicus.; Britannicus	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Բրունոն				Brunone.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Բրուտոս				Brutus.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Գաբելլեդդի				(Տէր Յ.) Cappelletti.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Գաբինիոս				Gabinius.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Գաբրիէլ				Gabriel.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Գագիկ				Kakig.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Գազմիր				Casimir.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Գալանոս				Galano.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Գալբա				Galba.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Գալիլէոս				Galileo.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Գալուստ				Kaloost; Kaloost; Տ. Պոնավենդուրա.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Գաղենոս				Galenus, Galien.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Գաղերիոս				Galerius.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Գամաղիէլ				Gamaliel.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Գայետան		ոս		Gajetan.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Գայիանէ			f.	Gaïaney.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Գանիմեդէս				Ganymedes.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Գառնիկ				Garnice.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Գասպար				Jasper.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Աւգերեան				(ՀՀ. Մ. և Յ.) Awker, Aucher.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Աւետիքեան				(Հ. Գ.) Awedikian.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Աքիմելէք				Achimelech.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Բագրատունի				(Հ. Ա. Կ.) Bagratoony.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Բարդածան				Bardezanes.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Բեեղզեբուղ				Beelzebub.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Բէթսաբէ			f.	Bathsheba.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Բուզանդ				Byzant.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Գաբելլեդդի				(Տէր Յ.) Cappelletti.	dict-801.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Գարեգին				Carekin.	dict-802.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf399.jpg
